ENSMUSG00000033970	ENSMUST00000038131	ENSMUSP00000039621	ENSRNOG00000001088	ENSRNOT00000001444	ENSRNOP00000001444
ENSMUSG00000028830	ENSMUST00000102607	ENSMUSP00000099667	ENSRNOG00000012204	ENSRNOT00000016493	ENSRNOP00000016493
ENSMUSG00000045019	ENSMUST00000056113	ENSMUSP00000062037	ENSRNOG00000047368	ENSRNOT00000075180	ENSRNOP00000064840
ENSMUSG00000026835	ENSMUST00000028179	ENSMUSP00000028179	ENSRNOG00000009342	ENSRNOT00000012494	ENSRNOP00000012494
ENSMUSG00000023330	ENSMUST00000110437	ENSMUSP00000106067	ENSRNOG00000009593	ENSRNOT00000012966	ENSRNOP00000012966
ENSMUSG00000035356	ENSMUST00000036273	ENSMUSP00000041173	ENSRNOG00000031163	ENSRNOT00000078856	ENSRNOP00000073948
ENSMUSG00000026659	ENSMUST00000166393	ENSMUSP00000130507	ENSRNOG00000003100	ENSRNOT00000004179	ENSRNOP00000004179
ENSMUSG00000037148	ENSMUST00000076316	ENSMUSP00000075658	ENSRNOG00000013152	ENSRNOT00000017867	ENSRNOP00000017867
ENSMUSG00000002660	ENSMUST00000002735	ENSMUSP00000002735	ENSRNOG00000047052	ENSRNOT00000072001	ENSRNOP00000066481
ENSMUSG00000020102	ENSMUST00000211781	ENSMUSP00000147968	ENSRNOG00000007839	ENSRNOT00000058036	ENSRNOP00000054845
ENSMUSG00000026388	ENSMUST00000112644	ENSMUSP00000108263	ENSRNOG00000045570	ENSRNOT00000071437	ENSRNOP00000066166
ENSMUSG00000037536	ENSMUST00000228668	ENSMUSP00000154110	ENSRNOG00000011704	ENSRNOT00000015778	ENSRNOP00000015777
ENSMUSG00000002661	ENSMUST00000002737	ENSMUSP00000002737	ENSRNOG00000047089	ENSRNOT00000072118	ENSRNOP00000065514
ENSMUSG00000023333	ENSMUST00000024104	ENSMUSP00000024104	ENSRNOG00000007932	ENSRNOT00000010583	ENSRNOP00000010583
ENSMUSG00000024076	ENSMUST00000024880	ENSMUSP00000024880	ENSRNOG00000004706	ENSRNOT00000006360	ENSRNOP00000006360
ENSMUSG00000054892	ENSMUST00000113604	ENSMUSP00000109234	ENSRNOG00000025925	ENSRNOT00000035623	ENSRNOP00000030643
ENSMUSG00000055817	ENSMUST00000177069	ENSMUSP00000135064	ENSRNOG00000004685	ENSRNOT00000079095	ENSRNOP00000068747
ENSMUSG00000002664	ENSMUST00000002740	ENSMUSP00000002740	ENSRNOG00000049171	ENSRNOT00000071188	ENSRNOP00000065156
ENSMUSG00000022043	ENSMUST00000022623	ENSMUSP00000022623	ENSRNOG00000009449	ENSRNOT00000012528	ENSRNOP00000012528
ENSMUSG00000070524	ENSMUST00000094337	ENSMUSP00000091895	ENSRNOG00000003135	ENSRNOT00000004181	ENSRNOP00000004181
ENSMUSG00000025498	ENSMUST00000106023	ENSMUSP00000101644	ENSRNOG00000017414	ENSRNOT00000023504	ENSRNOP00000023504
ENSMUSG00000031250	ENSMUST00000033602	ENSMUSP00000033602	ENSRNOG00000060970	ENSRNOT00000083229	ENSRNOP00000073972
ENSMUSG00000068134	ENSMUST00000122859	ENSMUSP00000114205	ENSRNOG00000006112	ENSRNOT00000008101	ENSRNOP00000008101
ENSMUSG00000022913	ENSMUST00000023630	ENSMUSP00000023630	ENSRNOG00000001643	ENSRNOT00000002242	ENSRNOP00000002242
ENSMUSG00000021945	ENSMUST00000022511	ENSMUSP00000022511	ENSRNOG00000008734	ENSRNOT00000011684	ENSRNOP00000011684
ENSMUSG00000043415	ENSMUST00000052168	ENSMUSP00000100617	ENSRNOG00000016950	ENSRNOT00000022734	ENSRNOP00000060310
ENSMUSG00000032564	ENSMUST00000057742	ENSMUSP00000049663	ENSRNOG00000026577	ENSRNOT00000016749	ENSRNOP00000016749
ENSMUSG00000050445	ENSMUST00000062474	ENSMUSP00000052989	ENSRNOG00000019481	ENSRNOT00000026355	ENSRNOP00000026355
ENSMUSG00000038806	ENSMUST00000038091	ENSMUSP00000037890	ENSRNOG00000003247	ENSRNOT00000078263	ENSRNOP00000075283
ENSMUSG00000000552	ENSMUST00000168828	ENSMUSP00000130176	ENSRNOG00000036833	ENSRNOT00000064261	ENSRNOP00000059042
ENSMUSG00000050199	ENSMUST00000046548	ENSMUSP00000047325	ENSRNOG00000005715	ENSRNOT00000007681	ENSRNOP00000007681
ENSMUSG00000006398	ENSMUST00000006565	ENSMUSP00000006565	ENSRNOG00000028415	ENSRNOT00000036151	ENSRNOP00000037772
ENSMUSG00000060166	ENSMUST00000076957	ENSMUSP00000076224	ENSRNOG00000021891	ENSRNOT00000048063	ENSRNOP00000040329
ENSMUSG00000026959	ENSMUST00000114318	ENSMUSP00000109957	ENSRNOG00000011726	ENSRNOT00000037725	ENSRNOP00000029227
ENSMUSG00000017204	ENSMUST00000017348	ENSMUSP00000017348	ENSRNOG00000007943	ENSRNOT00000048349	ENSRNOP00000050054
ENSMUSG00000026389	ENSMUST00000112641	ENSMUSP00000108260	ENSRNOG00000049471	ENSRNOT00000071388	ENSRNOP00000064137
ENSMUSG00000029306	ENSMUST00000031246	ENSMUSP00000031246	ENSRNOG00000002158	ENSRNOT00000002938	ENSRNOP00000002938
ENSMUSG00000060512	ENSMUST00000196575	ENSMUSP00000142473	ENSRNOG00000002191	ENSRNOT00000002982	ENSRNOP00000002982
ENSMUSG00000007670	ENSMUST00000233480	ENSMUSP00000156463	ENSRNOG00000047628	ENSRNOT00000077653	ENSRNOP00000072174
ENSMUSG00000028560	ENSMUST00000030289	ENSMUSP00000030289	ENSRNOG00000007890	ENSRNOT00000010933	ENSRNOP00000010935
ENSMUSG00000047417	ENSMUST00000057910	ENSMUSP00000049705	ENSRNOG00000017916	ENSRNOT00000024080	ENSRNOP00000024080
ENSMUSG00000006390	ENSMUST00000167636	ENSMUSP00000126685	ENSRNOG00000028448	ENSRNOT00000037160	ENSRNOP00000033374
ENSMUSG00000002477	ENSMUST00000002551	ENSMUSP00000002551	ENSRNOG00000013714	ENSRNOT00000018646	ENSRNOP00000018646
ENSMUSG00000050530	ENSMUST00000072955	ENSMUSP00000072724	ENSRNOG00000016534	ENSRNOT00000057851	ENSRNOP00000054660
ENSMUSG00000032735	ENSMUST00000166783	ENSMUSP00000125836	ENSRNOG00000019365	ENSRNOT00000026227	ENSRNOP00000026227
ENSMUSG00000046070	ENSMUST00000234675		ENSRNOG00000015061	ENSRNOT00000020233	ENSRNOP00000020233
ENSMUSG00000029344	ENSMUST00000031287	ENSMUSP00000031287	ENSRNOG00000000664	ENSRNOT00000000831	ENSRNOP00000000831
ENSMUSG00000041120	ENSMUST00000042844	ENSMUSP00000045608	ENSRNOG00000049402	ENSRNOT00000072299	ENSRNOP00000064345
ENSMUSG00000021541	ENSMUST00000151918	ENSMUSP00000119809	ENSRNOG00000012727	ENSRNOT00000016982	ENSRNOP00000016982
ENSMUSG00000020257	ENSMUST00000020490	ENSMUSP00000020490	ENSRNOG00000048441	ENSRNOT00000074771	ENSRNOP00000064523
ENSMUSG00000037722	ENSMUST00000046191	ENSMUSP00000042860	ENSRNOG00000008641	ENSRNOT00000078850	ENSRNOP00000071110
ENSMUSG00000059409	ENSMUST00000233988	ENSMUSP00000156500	ENSRNOG00000016849	ENSRNOT00000022862	ENSRNOP00000022862
ENSMUSG00000013701	ENSMUST00000013845	ENSMUSP00000013845	ENSRNOG00000019811	ENSRNOT00000026932	ENSRNOP00000026932
ENSMUSG00000032224	ENSMUST00000034749	ENSMUSP00000034749	ENSRNOG00000057501	ENSRNOT00000088628	ENSRNOP00000075059
ENSMUSG00000018899	ENSMUST00000108920	ENSMUSP00000104548	ENSRNOG00000008144	ENSRNOT00000010968	ENSRNOP00000010968
ENSMUSG00000018412	ENSMUST00000018556	ENSMUSP00000018556	ENSRNOG00000053680	ENSRNOT00000089029	ENSRNOP00000074797
ENSMUSG00000026656	ENSMUST00000159969	ENSMUSP00000137669	ENSRNOG00000046452	ENSRNOT00000058497	ENSRNOP00000055293
ENSMUSG00000020698	ENSMUST00000021040	ENSMUSP00000021040	ENSRNOG00000007523	ENSRNOT00000009944	ENSRNOP00000009944
ENSMUSG00000032258	ENSMUST00000190514	ENSMUSP00000140753	ENSRNOG00000009580	ENSRNOT00000090139	ENSRNOP00000075180
ENSMUSG00000047261	ENSMUST00000102817	ENSMUSP00000099881	ENSRNOG00000001528	ENSRNOT00000002091	ENSRNOP00000002091
ENSMUSG00000000295	ENSMUST00000159194	ENSMUSP00000124106	ENSRNOG00000021442	ENSRNOT00000029444	ENSRNOP00000034339
ENSMUSG00000030345	ENSMUST00000078521	ENSMUSP00000077606	ENSRNOG00000053178	ENSRNOT00000083056	ENSRNOP00000068957
ENSMUSG00000063576	ENSMUST00000071841	ENSMUSP00000071743	ENSRNOG00000017495	ENSRNOT00000023979	ENSRNOP00000023979
ENSMUSG00000033854	ENSMUST00000221240	ENSMUSP00000152473	ENSRNOG00000003813	ENSRNOT00000005175	ENSRNOP00000005175
ENSMUSG00000066652	ENSMUST00000085797	ENSMUSP00000082952	ENSRNOG00000060325	ENSRNOT00000080574	ENSRNOP00000071113
ENSMUSG00000059900	ENSMUST00000112946	ENSMUSP00000108568	ENSRNOG00000010430	ENSRNOT00000013889	ENSRNOP00000013889
ENSMUSG00000029423	ENSMUST00000086056	ENSMUSP00000083222	ENSRNOG00000000934	ENSRNOT00000001238	ENSRNOP00000001238
ENSMUSG00000028558	ENSMUST00000106629	ENSMUSP00000102240	ENSRNOG00000037710	ENSRNOT00000068697	ENSRNOP00000063135
ENSMUSG00000052712	ENSMUST00000064709	ENSMUSP00000066224	ENSRNOG00000000524	ENSRNOT00000000631	ENSRNOP00000000631
ENSMUSG00000022770	ENSMUST00000115201	ENSMUSP00000110855	ENSRNOG00000038597	ENSRNOT00000078737	ENSRNOP00000071898
ENSMUSG00000028675	ENSMUST00000030436	ENSMUSP00000030436	ENSRNOG00000009248	ENSRNOT00000080069	ENSRNOP00000070641
ENSMUSG00000022360	ENSMUST00000038194	ENSMUSP00000043691	ENSRNOG00000025604	ENSRNOT00000008508	ENSRNOP00000008508
ENSMUSG00000017221	ENSMUST00000017365	ENSMUSP00000017365	ENSRNOG00000028103	ENSRNOT00000039836	ENSRNOP00000037928
ENSMUSG00000024077	ENSMUST00000145910	ENSMUSP00000120830	ENSRNOG00000004806	ENSRNOT00000006527	ENSRNOP00000006527
ENSMUSG00000033819	ENSMUST00000037551	ENSMUSP00000037356	ENSRNOG00000015450	ENSRNOT00000020768	ENSRNOP00000020768
ENSMUSG00000026520	ENSMUST00000027802	ENSMUSP00000027802	ENSRNOG00000003267	ENSRNOT00000004379	ENSRNOP00000004379
ENSMUSG00000026315	ENSMUST00000000514	ENSMUSP00000000514	ENSRNOG00000002396	ENSRNOT00000003274	ENSRNOP00000003274
ENSMUSG00000060534	ENSMUST00000073379	ENSMUSP00000073094	ENSRNOG00000033099	ENSRNOT00000064947	ENSRNOP00000063072
ENSMUSG00000050608	ENSMUST00000143971	ENSMUSP00000117583	ENSRNOG00000042696	ENSRNOT00000064418	ENSRNOP00000060661
ENSMUSG00000002768	ENSMUST00000233491	ENSMUSP00000156439	ENSRNOG00000017144	ENSRNOT00000089168	ENSRNOP00000069326
ENSMUSG00000025401	ENSMUST00000079590	ENSMUSP00000078540	ENSRNOG00000004177	ENSRNOT00000005575	ENSRNOP00000005575
ENSMUSG00000054405	ENSMUST00000094657	ENSMUSP00000092242	ENSRNOG00000013255	ENSRNOT00000089852	ENSRNOP00000074065
ENSMUSG00000027298	ENSMUST00000110783	ENSMUSP00000106410	ENSRNOG00000058586	ENSRNOT00000081462	ENSRNOP00000069466
ENSMUSG00000067377	ENSMUST00000087557	ENSMUSP00000084838	ENSRNOG00000003786	ENSRNOT00000005165	ENSRNOP00000005165
ENSMUSG00000049680	ENSMUST00000118076	ENSMUSP00000113589	ENSRNOG00000012184	ENSRNOT00000076874	ENSRNOP00000067978
ENSMUSG00000020182	ENSMUST00000066237	ENSMUSP00000068525	ENSRNOG00000004327	ENSRNOT00000005851	ENSRNOP00000005851
ENSMUSG00000052142	ENSMUST00000137458	ENSMUSP00000123141	ENSRNOG00000006167	ENSRNOT00000066722	ENSRNOP00000059964
ENSMUSG00000038195	ENSMUST00000042972	ENSMUSP00000037238	ENSRNOG00000003784	ENSRNOT00000005039	ENSRNOP00000005039
ENSMUSG00000031841	ENSMUST00000117160	ENSMUSP00000113527	ENSRNOG00000014371	ENSRNOT00000077053	ENSRNOP00000068368
ENSMUSG00000063415	ENSMUST00000204109	ENSMUSP00000144998	ENSRNOG00000015076	ENSRNOT00000020505	ENSRNOP00000020505
ENSMUSG00000013415	ENSMUST00000013559	ENSMUSP00000013559	ENSRNOG00000006122	ENSRNOT00000008139	ENSRNOP00000008139
ENSMUSG00000032089	ENSMUST00000034594	ENSMUSP00000034594	ENSRNOG00000016308	ENSRNOT00000021926	ENSRNOP00000021926
ENSMUSG00000034063	ENSMUST00000059318	ENSMUSP00000053778	ENSRNOG00000022155	ENSRNOT00000029055	ENSRNOP00000038091
ENSMUSG00000045975	ENSMUST00000170757	ENSMUSP00000127368	ENSRNOG00000001621	ENSRNOT00000002209	ENSRNOP00000002209
ENSMUSG00000019810	ENSMUST00000060212	ENSMUSP00000055519	ENSRNOG00000015551	ENSRNOT00000020946	ENSRNOP00000020946
ENSMUSG00000039414	ENSMUST00000097281	ENSMUSP00000094882	ENSRNOG00000025926	ENSRNOT00000035905	ENSRNOP00000035203
ENSMUSG00000026715	ENSMUST00000064725	ENSMUSP00000068971	ENSRNOG00000002783	ENSRNOT00000003748	ENSRNOP00000003748
ENSMUSG00000025081	ENSMUST00000111606	ENSMUSP00000107233	ENSRNOG00000017064	ENSRNOT00000084861	ENSRNOP00000075160
ENSMUSG00000047881	ENSMUST00000087327	ENSMUSP00000084585	ENSRNOG00000002192	ENSRNOT00000002984	ENSRNOP00000002984
ENSMUSG00000017801	ENSMUST00000107302	ENSMUSP00000102923	ENSRNOG00000019983	ENSRNOT00000027116	ENSRNOP00000027116
ENSMUSG00000068749	ENSMUST00000090569	ENSMUSP00000088057	ENSRNOG00000019868	ENSRNOT00000026928	ENSRNOP00000026928
ENSMUSG00000026725	ENSMUST00000039178	ENSMUSP00000039452	ENSRNOG00000002548	ENSRNOT00000003452	ENSRNOP00000003452
ENSMUSG00000025743	ENSMUST00000070478	ENSMUSP00000065877	ENSRNOG00000011927	ENSRNOT00000048781	ENSRNOP00000041634
ENSMUSG00000040797	ENSMUST00000129815	ENSMUSP00000120847	ENSRNOG00000014083	ENSRNOT00000076318	ENSRNOP00000067900
ENSMUSG00000034958	ENSMUST00000146030	ENSMUSP00000118285	ENSRNOG00000020407	ENSRNOT00000041325	ENSRNOP00000045560
ENSMUSG00000050232	ENSMUST00000056614	ENSMUSP00000052444	ENSRNOG00000003305	ENSRNOT00000004406	ENSRNOP00000004406
ENSMUSG00000051579	ENSMUST00000146583	ENSMUSP00000122143	ENSRNOG00000028585	ENSRNOT00000017138	ENSRNOP00000053943
ENSMUSG00000020477	ENSMUST00000154330	ENSMUSP00000119535	ENSRNOG00000011979	ENSRNOT00000080848	ENSRNOP00000074987
ENSMUSG00000036825	ENSMUST00000106149	ENSMUSP00000101755	ENSRNOG00000015425	ENSRNOT00000041186	ENSRNOP00000043877
ENSMUSG00000025332	ENSMUST00000112584	ENSMUSP00000108203	ENSRNOG00000057706	ENSRNOT00000082725	ENSRNOP00000074522
ENSMUSG00000027649	ENSMUST00000029178	ENSMUSP00000029178	ENSRNOG00000012021	ENSRNOT00000066808	ENSRNOP00000060192
ENSMUSG00000043467	ENSMUST00000160056	ENSMUSP00000134769	ENSRNOG00000026907	ENSRNOT00000076985	ENSRNOP00000068493
ENSMUSG00000043155	ENSMUST00000055436	ENSMUSP00000062327	ENSRNOG00000018143	ENSRNOT00000024393	ENSRNOP00000024393
ENSMUSG00000047721	ENSMUST00000130498	ENSMUSP00000114873	ENSRNOG00000047988	ENSRNOT00000073652	ENSRNOP00000066485
ENSMUSG00000059089	ENSMUST00000078825	ENSMUSP00000077873	ENSRNOG00000024382	ENSRNOT00000047434	ENSRNOP00000043183
ENSMUSG00000050945	ENSMUST00000063989	ENSMUSP00000067049	ENSRNOG00000028329	ENSRNOT00000086342	ENSRNOP00000068915
ENSMUSG00000020105	ENSMUST00000074807	ENSMUSP00000074360	ENSRNOG00000007654	ENSRNOT00000032786	ENSRNOP00000030604
ENSMUSG00000019826	ENSMUST00000080771	ENSMUSP00000079592	ENSRNOG00000000308	ENSRNOT00000057175	ENSRNOP00000054002
ENSMUSG00000054034	ENSMUST00000066819	ENSMUSP00000065397	ENSRNOG00000046280	ENSRNOT00000073529	ENSRNOP00000067698
ENSMUSG00000079487	ENSMUST00000117706	ENSMUSP00000112852	ENSRNOG00000003848	ENSRNOT00000076957	ENSRNOP00000068498
ENSMUSG00000030707	ENSMUST00000106364	ENSMUSP00000101972	ENSRNOG00000019430	ENSRNOT00000026496	ENSRNOP00000026496
ENSMUSG00000028167	ENSMUST00000120397	ENSMUSP00000112683	ENSRNOG00000014490	ENSRNOT00000019507	ENSRNOP00000019507
ENSMUSG00000020857	ENSMUST00000021217	ENSMUSP00000021217	ENSRNOG00000002671	ENSRNOT00000003611	ENSRNOP00000003611
ENSMUSG00000029392	ENSMUST00000062153	ENSMUSP00000050014	ENSRNOG00000001055	ENSRNOT00000001401	ENSRNOP00000001401
ENSMUSG00000020687	ENSMUST00000093923	ENSMUSP00000091452	ENSRNOG00000005904	ENSRNOT00000007963	ENSRNOP00000007963
ENSMUSG00000036244	ENSMUST00000040217	ENSMUSP00000037525	ENSRNOG00000008737	ENSRNOT00000078666	ENSRNOP00000069565
ENSMUSG00000043671	ENSMUST00000051377	ENSMUSP00000054747	ENSRNOG00000021573	ENSRNOT00000039115	ENSRNOP00000033949
ENSMUSG00000006360	ENSMUST00000199089	ENSMUSP00000142803	ENSRNOG00000027990	ENSRNOT00000006835	ENSRNOP00000006835
ENSMUSG00000079428	ENSMUST00000126811	ENSMUSP00000122260	ENSRNOG00000037645	ENSRNOT00000046091	ENSRNOP00000042856
ENSMUSG00000028673	ENSMUST00000030434	ENSMUSP00000030434	ENSRNOG00000009325	ENSRNOT00000012455	ENSRNOP00000012455
ENSMUSG00000027303	ENSMUST00000077303	ENSMUSP00000076533	ENSRNOG00000021223	ENSRNOT00000080379	ENSRNOP00000069583
ENSMUSG00000009210	ENSMUST00000009354	ENSMUSP00000009354	ENSRNOG00000060193	ENSRNOT00000078446	ENSRNOP00000074239
ENSMUSG00000037601	ENSMUST00000135884	ENSMUSP00000117022	ENSRNOG00000002693	ENSRNOT00000003658	ENSRNOP00000003658
ENSMUSG00000026643	ENSMUST00000081932	ENSMUSP00000080600	ENSRNOG00000026248	ENSRNOT00000030228	ENSRNOP00000035716
ENSMUSG00000001785	ENSMUST00000001836	ENSMUSP00000001836	ENSRNOG00000005350	ENSRNOT00000007549	ENSRNOP00000007549
ENSMUSG00000027165	ENSMUST00000099682	ENSMUSP00000097274	ENSRNOG00000037567	ENSRNOT00000056935	ENSRNOP00000053773
ENSMUSG00000039830	ENSMUST00000035608	ENSMUSP00000036797	ENSRNOG00000028658	ENSRNOT00000000325	ENSRNOP00000000325
ENSMUSG00000031839	ENSMUST00000034300	ENSMUSP00000034300	ENSRNOG00000014415	ENSRNOT00000019443	ENSRNOP00000019443
ENSMUSG00000038233	ENSMUST00000043011	ENSMUSP00000040221	ENSRNOG00000025676	ENSRNOT00000014323	ENSRNOP00000014323
ENSMUSG00000009350	ENSMUST00000020779	ENSMUSP00000020779	ENSRNOG00000008310	ENSRNOT00000081951	ENSRNOP00000071759
ENSMUSG00000021032	ENSMUST00000110177	ENSMUSP00000105806	ENSRNOG00000011719	ENSRNOT00000016057	ENSRNOP00000016057
ENSMUSG00000029346	ENSMUST00000146510	ENSMUSP00000119870	ENSRNOG00000000662	ENSRNOT00000000826	ENSRNOP00000000826
ENSMUSG00000046010	ENSMUST00000056677	ENSMUSP00000056154	ENSRNOG00000007578	ENSRNOT00000009970	ENSRNOP00000009970
ENSMUSG00000046160	ENSMUST00000056882	ENSMUSP00000061408	ENSRNOG00000028648	ENSRNOT00000002827	ENSRNOP00000002827
ENSMUSG00000050103	ENSMUST00000160390	ENSMUSP00000125639	ENSRNOG00000023116	ENSRNOT00000032108	ENSRNOP00000029816
