node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,cS,cN,cA,mS,mN,mA
Taeromys_callitrichus_LSUMZ37153,Taeromys_callitrichus_LSUMZ37153,tip,NA,7488.0,0.0,0.0,0.0,845.0,11130.0,3825.0,1201.0,6104.0,519.0,9.0
Bunomys_torajae_NMVZ21736,Bunomys_torajae_NMVZ21736,tip,NA,7030.0,0.0,0.0,0.0,1303.0,20165.0,11241.0,2723.0,6201.0,853.0,12.0
Bunomys_andrewsi_sample1,Bunomys_andrewsi_sample1,tip,NA,3237.0,0.0,0.0,0.0,5096.0,23576.0,3821.0,1222.0,18533.0,1466.0,12.0
Bunomys_chrysocomus_JAE4867,Bunomys_chrysocomus_JAE4867,tip,NA,7213.0,0.0,0.0,0.0,1120.0,24593.0,12620.0,2959.0,9014.0,988.0,12.0
Halmaheramys_bokimekot_33262-WD225,Halmaheramys_bokimekot_33262-WD225,tip,NA,7341.0,0.0,0.0,0.0,992.0,26366.0,17017.0,4330.0,5019.0,765.0,15.0
Bullimus_bagobus_JAE1712,Bullimus_bagobus_JAE1712,tip,NA,6786.0,0.0,0.0,0.0,1547.0,38065.0,23328.0,5484.0,9253.0,1427.0,19.0
Papagomys_armandvillei_WAMM32592,Papagomys_armandvillei_WAMM32592,tip,NA,7612.0,0.0,0.0,0.0,721.0,30532.0,20444.0,5173.0,4915.0,672.0,4.0
Sundamys_annandalei_YS118,Sundamys_annandalei_YS118,tip,NA,7541.0,0.0,0.0,0.0,792.0,32876.0,20587.0,3880.0,8409.0,787.0,12.0
Sundamys_muelleri_JAE1283,Sundamys_muelleri_JAE1283,tip,NA,5988.0,0.0,0.0,0.0,2345.0,27093.0,14902.0,3141.0,9050.0,1269.0,12.0
Berylmys_bowersi_ABTC116431,Berylmys_bowersi_ABTC116431,tip,NA,7273.0,0.0,0.0,0.0,1060.0,33441.0,18281.0,3489.0,11671.0,1364.0,19.0
Berylmys_mackenziei_ABTC116402,Berylmys_mackenziei_ABTC116402,tip,NA,5349.0,0.0,0.0,0.0,2984.0,19398.0,8110.0,2305.0,8983.0,1358.0,22.0
Saxatilomys_paulinae_ABTC116266,Saxatilomys_paulinae_ABTC116266,tip,NA,7570.0,0.0,0.0,0.0,763.0,65529.0,52399.0,9924.0,3206.0,1110.0,14.0
Niviventer_lepturus_JAE4746,Niviventer_lepturus_JAE4746,tip,NA,6883.0,0.0,0.0,0.0,1450.0,38224.0,26440.0,4971.0,6813.0,1371.0,15.0
Niviventer_rapit_LSUMZ38196,Niviventer_rapit_LSUMZ38196,tip,NA,7189.0,0.0,0.0,0.0,1144.0,12923.0,5329.0,1389.0,6205.0,855.0,16.0
Niviventer_bukit_LSUMZ38136,Niviventer_bukit_LSUMZ38136,tip,NA,7502.0,0.0,0.0,0.0,831.0,14301.0,6392.0,1546.0,6363.0,649.0,10.0
Anonymomys_mindorensis_FMNH2222010,Anonymomys_mindorensis_FMNH2222010,tip,NA,7705.0,0.0,0.0,0.0,628.0,46601.0,34424.0,7062.0,5115.0,881.0,9.0
Leopoldomys_sabanus_Z25191,Leopoldomys_sabanus_Z25191,tip,NA,7239.0,0.0,0.0,0.0,1094.0,51975.0,37596.0,7165.0,7214.0,1344.0,30.0
Margaretamys_parvus_NMVZ21833,Margaretamys_parvus_NMVZ21833,tip,NA,7814.0,0.0,0.0,0.0,519.0,28193.0,18124.0,3753.0,6316.0,517.0,4.0
Margaretamys_christinae_TMar1,Margaretamys_christinae_TMar1,tip,NA,7419.0,0.0,0.0,0.0,914.0,28218.0,19702.0,4423.0,4093.0,963.0,18.0
Paucidentomys_vermidax_Z21914,Paucidentomys_vermidax_Z21914,tip,NA,7054.0,0.0,0.0,0.0,1279.0,41186.0,28301.0,5887.0,6998.0,1161.0,12.0
Echiothrix_centrosa_Z27993,Echiothrix_centrosa_Z27993,tip,NA,6244.0,0.0,0.0,0.0,2089.0,39303.0,23199.0,5519.0,10585.0,1430.0,23.0
Tateomys_rhinogradoides_Z21785,Tateomys_rhinogradoides_Z21785,tip,NA,7242.0,0.0,0.0,0.0,1091.0,35971.0,16598.0,4091.0,15282.0,1408.0,17.0
Melasmothrix_naso_Z21808,Melasmothrix_naso_Z21808,tip,NA,7046.0,0.0,0.0,0.0,1287.0,29490.0,16643.0,4136.0,8711.0,1265.0,16.0
Tateomys_macrocercus_Z21834,Tateomys_macrocercus_Z21834,tip,NA,5881.0,0.0,0.0,0.0,2452.0,27953.0,13139.0,2972.0,11842.0,1505.0,18.0
Gracilimus_radix_Z08508,Gracilimus_radix_Z08508,tip,NA,7368.0,0.0,0.0,0.0,965.0,34197.0,24651.0,5092.0,4454.0,1025.0,6.0
Waiomys_mamasae_Z20624,Waiomys_mamasae_Z20624,tip,NA,7000.0,0.0,0.0,0.0,1333.0,31188.0,19947.0,4229.0,7012.0,1249.0,16.0
Sommeromys_macrorhinos_Z21740,Sommeromys_macrorhinos_Z21740,tip,NA,6396.0,0.0,0.0,0.0,1937.0,41908.0,26368.0,6454.0,9086.0,1466.0,13.0
Hyorhinomys_stuempkei_JAE4661,Hyorhinomys_stuempkei_JAE4661,tip,NA,6668.0,0.0,0.0,0.0,1665.0,42008.0,27467.0,6211.0,8330.0,1456.0,24.0
Maxomys_surifer_JAE3632,Maxomys_surifer_JAE3632,tip,NA,6707.0,0.0,0.0,0.0,1626.0,61611.0,42353.0,7984.0,11274.0,1919.0,25.0
Maxomys_musschenbroekii_sample1,Maxomys_musschenbroekii_sample1,tip,NA,4012.0,0.0,0.0,0.0,4321.0,32651.0,18274.0,4188.0,10189.0,1674.0,20.0
Crunomys_melanius_KU168558,Crunomys_melanius_KU168558,tip,NA,7594.0,0.0,0.0,0.0,739.0,31440.0,22510.0,5399.0,3531.0,956.0,14.0
Crunomys_celebensis_Z21894,Crunomys_celebensis_Z21894,tip,NA,6852.0,0.0,0.0,0.0,1481.0,24094.0,15150.0,3640.0,5304.0,1335.0,18.0
Zyzomys_pedunculatus_Z34925,Zyzomys_pedunculatus_Z34925,tip,NA,7258.0,0.0,0.0,0.0,1075.0,31163.0,17334.0,3867.0,9962.0,963.0,11.0
Zyzomys_woodwardi_WAMM21724,Zyzomys_woodwardi_WAMM21724,tip,NA,6156.0,0.0,0.0,0.0,2177.0,26844.0,14302.0,3318.0,9224.0,1090.0,17.0
Zyzomys_palatalis_ABTC30744,Zyzomys_palatalis_ABTC30744,tip,NA,6946.0,0.0,0.0,0.0,1387.0,22940.0,12985.0,2797.0,7158.0,763.0,4.0
Zyzomys_argurus_ABTC61630,Zyzomys_argurus_ABTC61630,tip,NA,7071.0,0.0,0.0,0.0,1262.0,24809.0,11242.0,2689.0,10878.0,790.0,8.0
Zyzomys_maini_ABTC07900,Zyzomys_maini_ABTC07900,tip,NA,7276.0,0.0,0.0,0.0,1057.0,27196.0,15263.0,3350.0,8583.0,942.0,17.0
Pseudomys_oralis_RAT7,Pseudomys_oralis_RAT7,tip,NA,7491.0,0.0,0.0,0.0,842.0,31243.0,19759.0,4024.0,7460.0,626.0,5.0
Pseudomys_shortridgei_Z25113,Pseudomys_shortridgei_Z25113,tip,NA,6984.0,0.0,0.0,0.0,1349.0,21892.0,9680.0,2598.0,9614.0,1155.0,15.0
Pseudomys_desertor_ABTC41464,Pseudomys_desertor_ABTC41464,tip,NA,7049.0,0.0,0.0,0.0,1284.0,17291.0,8616.0,1934.0,6741.0,725.0,7.0
Pseudomys_nanus_U1448,Pseudomys_nanus_U1448,tip,NA,7105.0,0.0,0.0,0.0,1228.0,26144.0,10583.0,2426.0,13135.0,812.0,11.0
Pseudomys_gracilicaudatus_ABTC08163,Pseudomys_gracilicaudatus_ABTC08163,tip,NA,6974.0,0.0,0.0,0.0,1359.0,23833.0,10867.0,2261.0,10705.0,790.0,8.0
Pseudomys_higginsi_UC1421,Pseudomys_higginsi_UC1421,tip,NA,7669.0,0.0,0.0,0.0,664.0,29029.0,16529.0,3236.0,9264.0,651.0,5.0
Pseudomys_bolami_ABTC107389,Pseudomys_bolami_ABTC107389,tip,NA,6898.0,0.0,0.0,0.0,1435.0,20103.0,7288.0,1879.0,10936.0,1045.0,12.0
Pseudomys_novaehollandiae_ABTC08140,Pseudomys_novaehollandiae_ABTC08140,tip,NA,7266.0,0.0,0.0,0.0,1067.0,17182.0,7718.0,1747.0,7717.0,521.0,7.0
Pseudomys_delicatulus_U1509,Pseudomys_delicatulus_U1509,tip,NA,7084.0,0.0,0.0,0.0,1249.0,17253.0,8015.0,1967.0,7271.0,616.0,13.0
Pseudomys_hermannsburgensis_ABTC08067,Pseudomys_hermannsburgensis_ABTC08067,tip,NA,6973.0,0.0,0.0,0.0,1360.0,21050.0,10119.0,2311.0,8620.0,696.0,8.0
Mastacomys_fuscus_M13957,Mastacomys_fuscus_M13957,tip,NA,7456.0,0.0,0.0,0.0,877.0,25319.0,15929.0,3424.0,5966.0,630.0,10.0
Pseudomys_australis_M25541,Pseudomys_australis_M25541,tip,NA,7294.0,0.0,0.0,0.0,1039.0,29750.0,16678.0,3567.0,9505.0,651.0,8.0
Pseudomys_fumeus_ABTC08168,Pseudomys_fumeus_ABTC08168,tip,NA,7247.0,0.0,0.0,0.0,1086.0,30666.0,19871.0,4224.0,6571.0,565.0,8.0
Pseudomys_apodemoides_M16672,Pseudomys_apodemoides_M16672,tip,NA,7270.0,0.0,0.0,0.0,1063.0,21755.0,11104.0,2424.0,8227.0,655.0,9.0
Pseudomys_albocinereus_WAMM18855,Pseudomys_albocinereus_WAMM18855,tip,NA,6948.0,0.0,0.0,0.0,1385.0,21140.0,10564.0,2444.0,8132.0,859.0,8.0
Pseudomys_occidentalis_ABTC08043,Pseudomys_occidentalis_ABTC08043,tip,NA,7120.0,0.0,0.0,0.0,1213.0,33385.0,21858.0,4499.0,7028.0,722.0,16.0
Pseudomys_patrius_JM10865,Pseudomys_patrius_JM10865,tip,NA,6935.0,0.0,0.0,0.0,1398.0,21690.0,11543.0,2607.0,7540.0,763.0,11.0
Pseudomys_johnsoni_ABTC08053,Pseudomys_johnsoni_ABTC08053,tip,NA,7296.0,0.0,0.0,0.0,1037.0,22063.0,8166.0,1939.0,11958.0,700.0,4.0
Pseudomys_chapmani_WAMM29440,Pseudomys_chapmani_WAMM29440,tip,NA,7189.0,0.0,0.0,0.0,1144.0,25659.0,15712.0,3294.0,6653.0,786.0,7.0
Pseudomys_calabyi_U4324,Pseudomys_calabyi_U4324,tip,NA,7377.0,0.0,0.0,0.0,956.0,28310.0,15545.0,3383.0,9382.0,819.0,9.0
Notomys_mitchellii_M21518,Notomys_mitchellii_M21518,tip,NA,5695.0,0.0,0.0,0.0,2638.0,21402.0,8532.0,2103.0,10767.0,1398.0,19.0
Notomys_alexis_U1308,Notomys_alexis_U1308,tip,NA,6684.0,0.0,0.0,0.0,1649.0,17555.0,4724.0,1380.0,11451.0,782.0,13.0
Notomys_fuscus_M22830,Notomys_fuscus_M22830,tip,NA,7025.0,0.0,0.0,0.0,1308.0,19536.0,7571.0,1635.0,10330.0,715.0,7.0
Notomys_aquilo_M-32455,Notomys_aquilo_M-32455,tip,NA,7173.0,0.0,0.0,0.0,1160.0,18537.0,9169.0,1922.0,7446.0,578.0,4.0
Notomys_cervinus_M22857,Notomys_cervinus_M22857,tip,NA,6953.0,0.0,0.0,0.0,1380.0,33191.0,18824.0,3951.0,10416.0,1068.0,16.0
Leggadina_lakedownensis_WAMM21623,Leggadina_lakedownensis_WAMM21623,tip,NA,7249.0,0.0,0.0,0.0,1084.0,21595.0,10589.0,2441.0,8565.0,820.0,7.0
Leggadina_forresti_WAMM62323,Leggadina_forresti_WAMM62323,tip,NA,7208.0,0.0,0.0,0.0,1125.0,22525.0,11664.0,2699.0,8162.0,873.0,7.0
Uromys_sp-nov_YS380,Uromys_sp-nov_YS380,tip,NA,7339.0,0.0,0.0,0.0,994.0,16037.0,8504.0,2195.0,5338.0,781.0,20.0
Uromys_caudimaculatus_DT10Uc01,Uromys_caudimaculatus_DT10Uc01,tip,NA,7585.0,0.0,0.0,0.0,748.0,15998.0,9095.0,2183.0,4720.0,664.0,10.0
Solomys_salebrosus_ABTC64864,Solomys_salebrosus_ABTC64864,tip,NA,6852.0,0.0,0.0,0.0,1481.0,28570.0,19634.0,4759.0,4177.0,1025.0,22.0
Melomys_rufescens_ABTC44798,Melomys_rufescens_ABTC44798,tip,NA,6858.0,0.0,0.0,0.0,1475.0,36811.0,17750.0,3827.0,15234.0,1442.0,21.0
Mesembriomys_macrurus_ABTC7337,Mesembriomys_macrurus_ABTC7337,tip,NA,6395.0,0.0,0.0,0.0,1938.0,25082.0,12185.0,3006.0,9891.0,1329.0,20.0
Mesembriomys_gouldii_ABTC7449,Mesembriomys_gouldii_ABTC7449,tip,NA,7381.0,0.0,0.0,0.0,952.0,28289.0,14353.0,3450.0,10486.0,1011.0,7.0
Conilurus_penicillatus_M14056,Conilurus_penicillatus_M14056,tip,NA,7055.0,0.0,0.0,0.0,1278.0,35074.0,20260.0,4199.0,10615.0,1311.0,15.0
Conilurus_albipes_NMV-c7585,Conilurus_albipes_NMV-c7585,tip,NA,6636.0,0.0,0.0,0.0,1697.0,30673.0,17300.0,3781.0,9592.0,1298.0,20.0
Leporillus_conditor_ABTC13335,Leporillus_conditor_ABTC13335,tip,NA,4071.0,0.0,0.0,0.0,4262.0,19918.0,9949.0,2518.0,7451.0,1052.0,11.0
Leporillus_apicalis_C90,Leporillus_apicalis_C90,tip,NA,3170.0,0.0,0.0,0.0,5163.0,16636.0,6565.0,1663.0,8408.0,1096.0,8.0
Paraleptomys_wilhelmina_H126-ABTC133716,Paraleptomys_wilhelmina_H126-ABTC133716,tip,NA,7560.0,0.0,0.0,0.0,773.0,28304.0,20308.0,4716.0,3280.0,660.0,12.0
Mirzamys_louiseae_ABTC133754,Mirzamys_louiseae_ABTC133754,tip,NA,7668.0,0.0,0.0,0.0,665.0,27794.0,19300.0,4253.0,4241.0,622.0,11.0
Leptomys_elegans_ABTC45741,Leptomys_elegans_ABTC45741,tip,NA,7446.0,0.0,0.0,0.0,887.0,37922.0,26653.0,5982.0,5287.0,881.0,11.0
Xeromys_myoides_ABTC30709,Xeromys_myoides_ABTC30709,tip,NA,7718.0,0.0,0.0,0.0,615.0,43155.0,32820.0,7011.0,3324.0,814.0,12.0
Pseudohydromys_pumehanae_ABTC43920,Pseudohydromys_pumehanae_ABTC43920,tip,NA,7392.0,0.0,0.0,0.0,941.0,23159.0,15370.0,3490.0,4299.0,822.0,15.0
Microhydromys_richardsoni_ANWCM35851,Microhydromys_richardsoni_ANWCM35851,tip,NA,7590.0,0.0,0.0,0.0,743.0,30832.0,22820.0,4511.0,3501.0,565.0,7.0
Parahydromys_asper_ABTC45798,Parahydromys_asper_ABTC45798,tip,NA,7267.0,0.0,0.0,0.0,1066.0,14519.0,7913.0,2129.0,4477.0,762.0,12.0
Hydromys_sp-nov_YS391,Hydromys_sp-nov_YS391,tip,NA,7341.0,0.0,0.0,0.0,992.0,12415.0,6118.0,1653.0,4644.0,757.0,11.0
Hydromys_chrysogaster_Z5248,Hydromys_chrysogaster_Z5248,tip,NA,4896.0,0.0,0.0,0.0,3437.0,13277.0,5042.0,1394.0,6841.0,1318.0,25.0
Crossomys_moncktoni_ABTC46614,Crossomys_moncktoni_ABTC46614,tip,NA,7785.0,0.0,0.0,0.0,548.0,18319.0,13854.0,2974.0,1491.0,365.0,5.0
Mallomys_rothschildi_ABTC47402,Mallomys_rothschildi_ABTC47402,tip,NA,6513.0,0.0,0.0,0.0,1820.0,42900.0,30123.0,8042.0,4735.0,1421.0,20.0
Pogonomelomys_mayeri_AMM21849,Pogonomelomys_mayeri_AMM21849,tip,NA,7213.0,0.0,0.0,0.0,1120.0,49618.0,36138.0,7635.0,5845.0,1292.0,19.0
Abeomelomys_sevia_KUM161018,Abeomelomys_sevia_KUM161018,tip,NA,6956.0,0.0,0.0,0.0,1377.0,44070.0,32634.0,6993.0,4443.0,1122.0,21.0
Xenuromys_barbatus_ABTC129204,Xenuromys_barbatus_ABTC129204,tip,NA,7673.0,0.0,0.0,0.0,660.0,54214.0,42638.0,8793.0,2783.0,977.0,15.0
Mammelomys_lanosus_ABTC47208,Mammelomys_lanosus_ABTC47208,tip,NA,7195.0,0.0,0.0,0.0,1138.0,59705.0,44333.0,9890.0,5482.0,1279.0,17.0
Coccymys_ruemmleri_ABTC49489,Coccymys_ruemmleri_ABTC49489,tip,NA,7668.0,0.0,0.0,0.0,665.0,72080.0,56789.0,12063.0,3228.0,1456.0,13.0
Hyomys_goliath_ABTC42697,Hyomys_goliath_ABTC42697,tip,NA,7644.0,0.0,0.0,0.0,689.0,62224.0,46566.0,10595.0,5063.0,1152.0,9.0
Pogonomys_macrourus_ABTC43144,Pogonomys_macrourus_ABTC43144,tip,NA,7658.0,0.0,0.0,0.0,675.0,73232.0,57439.0,13082.0,2711.0,1375.0,20.0
Chiruromys_vates_ABTC43096,Chiruromys_vates_ABTC43096,tip,NA,7454.0,0.0,0.0,0.0,879.0,75549.0,58716.0,13950.0,2883.0,1634.0,19.0
Macruromys_major_ABTC43909,Macruromys_major_ABTC43909,tip,NA,6490.0,0.0,0.0,0.0,1843.0,48388.0,36111.0,9021.0,3256.0,1334.0,18.0
Lorentzimys_nouhuysi_ABTC-46314,Lorentzimys_nouhuysi_ABTC-46314,tip,NA,7279.0,0.0,0.0,0.0,1054.0,93639.0,69524.0,15437.0,8678.0,2475.0,28.0
Anisomys_imitator_ABTC45107,Anisomys_imitator_ABTC45107,tip,NA,7704.0,0.0,0.0,0.0,629.0,52713.0,40699.0,9448.0,2566.0,752.0,10.0
Chrotomys_whiteheadi_KU168311,Chrotomys_whiteheadi_KU168311,tip,NA,7065.0,0.0,0.0,0.0,1268.0,21498.0,11150.0,3214.0,7134.0,1147.0,15.0
Chrotomys_mindorensis_JAE520,Chrotomys_mindorensis_JAE520,tip,NA,7193.0,0.0,0.0,0.0,1140.0,18739.0,9400.0,2173.0,7166.0,1013.0,11.0
Rhynchomys_isarogensis_JAE2195,Rhynchomys_isarogensis_JAE2195,tip,NA,6758.0,0.0,0.0,0.0,1575.0,40543.0,30167.0,6423.0,3953.0,1180.0,19.0
Archboldomys_luzonensis_EAR1826,Archboldomys_luzonensis_EAR1826,tip,NA,6802.0,0.0,0.0,0.0,1531.0,44714.0,31117.0,7468.0,6129.0,1594.0,20.0
Apomys_lubangensis_JAE169,Apomys_lubangensis_JAE169,tip,NA,6754.0,0.0,0.0,0.0,1579.0,73214.0,52791.0,11821.0,8602.0,2059.0,26.0
Haeromys_minahassae_JAE4996,Haeromys_minahassae_JAE4996,tip,NA,6343.0,0.0,0.0,0.0,1990.0,80894.0,61668.0,12066.0,7160.0,2248.0,28.0
Chiropodomys_gliroides_Z25153,Chiropodomys_gliroides_Z25153,tip,NA,6694.0,0.0,0.0,0.0,1639.0,111387.0,83182.0,15414.0,12791.0,3209.0,18.0
Otomys_tropicalis_LSUMZ37841,Otomys_tropicalis_LSUMZ37841,tip,NA,7845.0,0.0,0.0,0.0,488.0,55527.0,44097.0,9007.0,2423.0,909.0,9.0
Otomys_denti_LSUMZ37840,Otomys_denti_LSUMZ37840,tip,NA,7290.0,0.0,0.0,0.0,1043.0,40981.0,28652.0,5936.0,6393.0,1147.0,19.0
Lemniscomys_striatus_TCD4711,Lemniscomys_striatus_TCD4711,tip,NA,6615.0,0.0,0.0,0.0,1718.0,46102.0,32122.0,5974.0,8006.0,1577.0,26.0
Arvicanthus_niloticus_MNHN1999201,Arvicanthus_niloticus_MNHN1999201,tip,NA,7607.0,0.0,0.0,0.0,726.0,25248.0,18591.0,3464.0,3193.0,556.0,12.0
Arvicanthus_neumanni_FMNH158037,Arvicanthus_neumanni_FMNH158037,tip,NA,6630.0,0.0,0.0,0.0,1703.0,24347.0,16750.0,3497.0,4100.0,1212.0,24.0
Pelomys_minor_FMNH219213,Pelomys_minor_FMNH219213,tip,NA,7662.0,0.0,0.0,0.0,671.0,34296.0,26627.0,4671.0,2998.0,712.0,12.0
Pelomys_isseli_FMNH137886,Pelomys_isseli_FMNH137886,tip,NA,7648.0,0.0,0.0,0.0,685.0,33683.0,25831.0,4562.0,3290.0,666.0,10.0
Mylomys_dybowskii_MNHN1997072,Mylomys_dybowskii_MNHN1997072,tip,NA,6778.0,0.0,0.0,0.0,1555.0,42455.0,32868.0,6685.0,2902.0,1168.0,20.0
Rhabdomys_pumilio_MNHN1995065,Rhabdomys_pumilio_MNHN1995065,tip,NA,6728.0,0.0,0.0,0.0,1605.0,69085.0,50812.0,10067.0,8206.0,1686.0,15.0
Dasymys_montanus_FMNH144389,Dasymys_montanus_FMNH144389,tip,NA,7705.0,0.0,0.0,0.0,628.0,19743.0,12354.0,2361.0,5028.0,536.0,9.0
Dasymys_incomtus_LSUMZ37702,Dasymys_incomtus_LSUMZ37702,tip,NA,6889.0,0.0,0.0,0.0,1444.0,15986.0,8162.0,2145.0,5679.0,1053.0,24.0
Aethomys_hindei_MVZ196257,Aethomys_hindei_MVZ196257,tip,NA,7713.0,0.0,0.0,0.0,620.0,64972.0,50843.0,9538.0,4591.0,953.0,8.0
Aethomys_nyikae_FMNH196708,Aethomys_nyikae_FMNH196708,tip,NA,7760.0,0.0,0.0,0.0,573.0,68612.0,54977.0,10929.0,2706.0,1161.0,12.0
Thamnomys_venustus_LSUMZ37935,Thamnomys_venustus_LSUMZ37935,tip,NA,7746.0,0.0,0.0,0.0,587.0,63811.0,49733.0,9941.0,4137.0,1059.0,10.0
