Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	Transcript count	Rat gene stable ID	Rat protein or transcript stable ID	Rat homology type	%id. target Rat gene identical to query gene	%id. query gene identical to target Rat gene	Rat Gene-order conservation score	Rat Whole-genome alignment coverage	dN with Rat	dS with Rat	Rat orthology confidence [0 low, 1 high]	Mouse chrome	Mouse start	Mouse end	Mouse length	Rat chrome	Rat start	Rat end	Rat length
ENSMUSG00000025469	ENSMUST00000055353	ENSMUSP00000057312	Msx3	2	ENSRNOG00000046776	ENSRNOP00000067831	ortholog_one2one	96.5686	96.5686	100	100.00	0.0157	0.2482	1	7	140046157	140049089	2932	1	212514223	212517151	2928
ENSMUSG00000021534	ENSMUST00000022007	ENSMUSP00000022007	1700001L19Rik	2	ENSRNOG00000047406	ENSRNOP00000064743	ortholog_one2one	82.967	83.8889	100	100.00	0.0895	0.2712	1	13	68597421	68614231	16810	1	37702041	37726151	24110
ENSMUSG00000020482	ENSMUST00000020776	ENSMUSP00000020776	Ccdc117	1	ENSRNOG00000010706	ENSRNOP00000015627	ortholog_one2one	90.6137	90.6137	100	100.00	0.0469	0.1351	1	11	5528887	5542187	13300	14	85763397	85772762	9365
ENSMUSG00000059278	ENSMUST00000144531	ENSMUSP00000123155	Naa38	4	ENSRNOG00000009823	ENSRNOP00000013071	ortholog_one2one	99.2	99.2	100	100.00	0.0037	0.1162	1	11	69395647	69396680	1033	10	55997614	55998691	1077
ENSMUSG00000018381	ENSMUST00000059026	ENSMUSP00000061893	Abi3	4	ENSRNOG00000005575	ENSRNOP00000007897	ortholog_one2one	95.0954	95.0954	100	100.00	0.0276	0.1561	1	11	95830074	95842409	12335	10	83644086	83655182	11096
ENSMUSG00000026697	ENSMUST00000028020	ENSMUSP00000028020	Myoc	1	ENSRNOG00000003221	ENSRNOP00000004386	ortholog_one2one	92.8571	90.6375	100	100.00	0.034	0.2329	1	1	162639155	162649693	10538	13	80517536	80527928	10392
ENSMUSG00000047361	ENSMUST00000114243	ENSMUSP00000109881	Gm973	10	ENSRNOG00000022723	ENSRNOP00000032953	ortholog_one2one	81.1143	80.809	100	100.00	0.1004	0.1717	1	1	59516264	59634509	118245	9	66335492	66447837	112345
ENSMUSG00000029401	ENSMUST00000031347	ENSMUSP00000031347	Rilpl2	2	ENSRNOG00000001061	ENSRNOP00000001403	ortholog_one2one	94.9239	94.9239	100	100.00	0.0217	0.224	1	5	124463265	124478366	15101	12	37544918	37556453	11535
ENSMUSG00000043310	ENSMUST00000215773	ENSMUSP00000148964	Olfr571	3	ENSRNOG00000015444	ENSRNOP00000020699	ortholog_one2one	88.8199	92.8571	100	100.00	0.0359	0.1694	1	7	102905090	102917536	12446	1	168028367	168029293	926
ENSMUSG00000001755	ENSMUST00000001806	ENSMUSP00000001806	Coasy	4	ENSRNOG00000019918	ENSRNOP00000027061	ortholog_one2one	95.3819	95.3819	100	100.00	0.0222	0.168	1	11	101082565	101086619	4054	10	88992487	88996676	4189
ENSMUSG00000028687	ENSMUST00000102699	ENSMUSP00000099760	Mutyh	7	ENSRNOG00000017887	ENSRNOP00000024375	ortholog_one2one	89.9029	89.7287	100	100.00	0.0528	0.2043	1	4	116807723	116819431	11708	5	135663371	135675344	11973
ENSMUSG00000044795	ENSMUST00000134903		Cyb5d1	3	ENSRNOG00000045742	ENSRNOP00000066788	ortholog_one2one	91.2281	91.2281	100	100.00	0.0444	0.1822	1	11	69391925	69395631	3706	10	55995823	55997299	1476
ENSMUSG00000026209	ENSMUST00000185797	ENSMUSP00000140864	Dnpep	14	ENSRNOG00000019772	ENSRNOP00000026799	ortholog_one2one	97.4737	97.4737	100	100.00	0.0129	0.1675	1	1	75307896	75317659	9763	9	82505530	82514399	8869
ENSMUSG00000027225	ENSMUST00000028656	ENSMUSP00000028656	Duoxa2	1	ENSRNOG00000017805	ENSRNOP00000024201	ortholog_one2one	90.9375	90.9375	100	100.00	0.0521	0.2199	1	2	122298900	122302885	3985	3	114236718	114240086	3368
ENSMUSG00000034723	ENSMUST00000038228	ENSMUSP00000045154	Tmx4	4	ENSRNOG00000024852	ENSRNOP00000032896	ortholog_one2one	90.7463	90.4762	100	100.00	0.0467	0.1512	1	2	134594185	134644145	49960	3	127528434	127569093	40659
ENSMUSG00000045377	ENSMUST00000050140	ENSMUSP00000055528	Tmem88	1	ENSRNOG00000009870	ENSRNOP00000013439	ortholog_one2one	93.0818	93.0818	100	100.00	0.0366	0.0747	1	11	69396519	69398234	1715	10	55998530	56000225	1695
ENSMUSG00000075142	ENSMUST00000099840	ENSMUSP00000097428	Olfr74	1	ENSRNOG00000005880	ENSRNOP00000007712	ortholog_one2one	89.6226	89.6226	100	100.00	0.0591	0.1692	1	2	87973707	87974663	956	3	76134519	76135475	956
ENSMUSG00000063334	ENSMUST00000163048	ENSMUSP00000125746	Krr1	4	ENSRNOG00000004035	ENSRNOP00000059249	ortholog_one2one	96.0526	96.0526	75	100.00	0.0181	0.2469	1	10	111972664	111988432	15768	7	54756043	54767471	11428
ENSMUSG00000029402	ENSMUST00000031349	ENSMUSP00000031349	Snrnp35	3	ENSRNOG00000001060	ENSRNOP00000001402	ortholog_one2one	97.9508	97.9508	100	100.00	0.0093	0.1836	1	5	124483134	124491124	7990	12	37531095	37538403	7308
ENSMUSG00000037514	ENSMUST00000150843	ENSMUSP00000119606	Pank2	8	ENSRNOG00000025286	ENSRNOP00000036035	ortholog_one2one	97.9684	97.9684	100	100.00	0.0116	0.1438	1	2	131262500	131299188	36688	3	123807952	123841797	33845
ENSMUSG00000052837	ENSMUST00000209372		Junb	2	ENSRNOG00000042838	ENSRNOP00000061729	ortholog_one2one	99.7093	99.7093	100	100.00	0.0013	0.0885	1	8	84974484	84976542	2058	19	26092974	26094756	1782
ENSMUSG00000026963	ENSMUST00000028340	ENSMUSP00000028340	Tmem210	2	ENSRNOG00000040275	ENSRNOP00000058698	ortholog_one2one	81.6327	85.7143	100	100.00	0.0925	0.0945	1	2	25288145	25289187	1042	3	2504694	2505666	972
ENSMUSG00000061080	ENSMUST00000187695	ENSMUSP00000139667	Lsamp	10	ENSRNOG00000031852	ENSRNOP00000040165	ortholog_one2one	83.7278	91.2903	25	93.58	0.0034	0.0687	1	16	39984371	42176295	2191924	11	58803140	59110562	307422
ENSMUSG00000027224	ENSMUST00000110537	ENSMUSP00000106166	Duoxa1	7	ENSRNOG00000018005	ENSRNOP00000024246	ortholog_one2one	94.1349	94.4118	100	100.00	0.0282	0.2149	1	2	122303549	122313693	10144	3	114241057	114251647	10590
ENSMUSG00000052926	ENSMUST00000109736	ENSMUSP00000105358	Rnaseh2a	10	ENSRNOG00000003504	ENSRNOP00000049148	ortholog_one2one	93.0233	93.0233	100	100.00	0.0366	0.1804	1	8	84956610	84969740	13130	19	26074987	26084679	9692
ENSMUSG00000020713	ENSMUST00000103071	ENSMUSP00000099360	Gh	1	ENSRNOG00000011207	ENSRNOP00000015818	ortholog_one2one	96.2963	96.2963	100	100.00	0.0169	0.1677	1	11	106300271	106301865	1594	10	94486205	94488180	1975
ENSMUSG00000020658	ENSMUST00000111178	ENSMUSP00000106809	Efr3b	6	ENSRNOG00000012950	ENSRNOP00000062505	ortholog_one2one	99.0208	99.0208	100	100.00	0.0044	0.2108	1	12	3962554	4038915	76361	6	28393016	28464118	71102
ENSMUSG00000026021	ENSMUST00000191158		Sumo1	4	ENSRNOG00000016133	ENSRNOP00000022048	ortholog_one2one	100	100	100	100.00	0	0	1	1	59586558	59670792	84234	9	66453438	66483614	30176
ENSMUSG00000028863	ENSMUST00000154689	ENSMUSP00000122288	Meaf6	8	ENSRNOG00000009309	ENSRNOP00000063845	ortholog_one2one	93.75	94.2408	100	100.00	0.0183	0.1822	1	4	125085134	125113238	28104	5	143081326	143103222	21896
ENSMUSG00000035711	ENSMUST00000223563	ENSMUSP00000153308	Dok3	3	ENSRNOG00000013564	ENSRNOP00000018232	ortholog_one2one	91.2162	91.2162	100	100.00	0.0427	0.2337	1	13	55523235	55529296	6061	17	9639330	9644090	4760
ENSMUSG00000029049	ENSMUST00000030915	ENSMUSP00000030915	Morn1	8	ENSRNOG00000014642	ENSRNOP00000019930	ortholog_one2one	89.5178	88.4058	100	100.00	0.057	0.182	1	4	155086577	155145505	58928	5	172488708	172547058	58350
ENSMUSG00000038611	ENSMUST00000155123	ENSMUSP00000120759	Phrf1	10	ENSRNOG00000017299	ENSRNOP00000046880	ortholog_one2one	92.2117	92.0475	100	100.00	0.0391	0.1421	1	7	141228784	141262742	33958	1	214215992	214248891	32899
ENSMUSG00000040592	ENSMUST00000044228	ENSMUSP00000048239	Cd79b	2	ENSRNOG00000011917	ENSRNOP00000015977	ortholog_one2one	85.0877	85.0877	100	100.00	0.0808	0.1924	1	11	106311341	106314762	3421	10	94497448	94500591	3143
ENSMUSG00000034957	ENSMUST00000205391	ENSMUSP00000145942	Cebpa	2	ENSRNOG00000010918	ENSRNOP00000063123	ortholog_one2one	97.493	88.6076	50	100.00	0.007	0.2462	1	7	35119293	35121928	2635	1	91363492	91366164	2672
ENSMUSG00000026663	ENSMUST00000027974	ENSMUSP00000027974	Atf6	2	ENSRNOG00000024632	ENSRNOP00000032766	ortholog_one2one	95.2744	95.2744	100	100.00	0.0227	0.2089	1	1	170704674	170867771	163097	13	89055983	89242443	186460
ENSMUSG00000074736	ENSMUST00000109935	ENSMUSP00000105561	Syndig1	6	ENSRNOG00000031536	ENSRNOP00000060788	ortholog_one2one	98.4496	98.4496	75	100.00	0.007	0.146	1	2	149830788	150004392	173604	3	145032200	145199356	167156
ENSMUSG00000038116	ENSMUST00000037401	ENSMUSP00000043138	Phf20	11	ENSRNOG00000019948	ENSRNOP00000027067	ortholog_one2one	94.8515	94.8515	100	100.00	0.0239	0.1814	1	2	156196642	156309952	113310	3	152294656	152377170	82514
ENSMUSG00000056888	ENSMUST00000162508	ENSMUSP00000123990	Glipr1	5	ENSRNOG00000026644	ENSRNOP00000005399	ortholog_one2one	81.1765	82.4701	50	100.00	0.1018	0.2897	1	10	111985455	112002621	17166	7	54767827	54778848	11021
ENSMUSG00000032551	ENSMUST00000035154	ENSMUSP00000035154	1110059G10Rik	3	ENSRNOG00000004135	ENSRNOP00000005502	ortholog_one2one	96.129	96.129	100	100.00	0.0206	0.2158	1	9	122945089	122951000	5911	8	132029621	132032971	3350
ENSMUSG00000029076	ENSMUST00000050078	ENSMUSP00000053175	Sdf4	6	ENSRNOG00000019981	ENSRNOP00000027215	ortholog_one2one	97.2299	91.8848	100	100.00	0.0124	0.1884	1	4	155992911	156013610	20699	5	173425907	173444620	18713
ENSMUSG00000052488	ENSMUST00000079510	ENSMUSP00000078469	Cherp	7	ENSRNOG00000012323	ENSRNOP00000017424	ortholog_one2one	98.7207	99.0374	100	100.00	0.0067	0.2109	1	8	72460489	72475119	14630	16	19068783	19081837	13054
ENSMUSG00000001027	ENSMUST00000021056	ENSMUSP00000021056	Scn4a	2	ENSRNOG00000012134	ENSRNOP00000016841	ortholog_one2one	97.1754	97.2283	100	100.00	0.0129	0.2831	1	11	106318592	106349389	30797	10	94505026	94557764	52738
ENSMUSG00000035200	ENSMUST00000034854	ENSMUSP00000034854	Chrnb4	1	ENSRNOG00000014427	ENSRNOP00000019458	ortholog_one2one	96.5657	96.5657	100	100.00	0.0169	0.194	1	9	55028154	55048779	20625	8	59609693	59629133	19440
ENSMUSG00000018401	ENSMUST00000103179	ENSMUSP00000099468	Mtmr4	6	ENSRNOG00000007496	ENSRNOP00000009943	ortholog_one2one	96.3025	96.2217	100	100.00	0.0188	0.1334	1	11	87592162	87616302	24140	10	74886985	74909533	22548
ENSMUSG00000028830	ENSMUST00000102608	ENSMUSP00000099668	AU040320	11	ENSRNOG00000012204	ENSRNOP00000016493	ortholog_one2one	88.2949	91.3251	100	99.86	0.0495	0.1986	1	4	126753555	126870070	116515	5	144779681	144872271	92590
ENSMUSG00000045019	ENSMUST00000056113	ENSMUSP00000062037	Acer1	1	ENSRNOG00000047368	ENSRNOP00000064840	ortholog_one2one	91.5751	91.5751	100	100.00	0.0418	0.2265	1	17	56953490	56982126	28636	9	10061978	10093588	31610
ENSMUSG00000026835	ENSMUST00000028179	ENSMUSP00000028179	Fcnb	3	ENSRNOG00000009342	ENSRNOP00000012494	ortholog_one2one	88.2166	86.8339	100	100.00	0.0649	0.2756	1	2	28076378	28084885	8507	3	6617751	6626284	8533
ENSMUSG00000023330	ENSMUST00000170908	ENSMUSP00000127662	Dtwd1	2	ENSRNOG00000009593	ENSRNOP00000012966	ortholog_one2one	87.5	87.5	100	100.00	0.0664	0.1961	1	2	126152141	126165276	13135	3	118430511	118442098	11587
ENSMUSG00000035356	ENSMUST00000036273	ENSMUSP00000041173	Nfkbiz	6	ENSRNOG00000031163	ENSRNOP00000073948	ortholog_one2one	84.0659	83.4925	100	100.00	0.0978	0.3342	1	16	55811375	55838899	27524	11	47260641	47270163	9522
ENSMUSG00000026659	ENSMUST00000170420	ENSMUSP00000129515	Dusp12	7	ENSRNOG00000003100	ENSRNOP00000004179	ortholog_one2one	90.2655	90.2655	100	100.00	0.0498	0.2353	1	1	170873498	170885457	11959	13	89258310	89267402	9092
ENSMUSG00000037148	ENSMUST00000076316	ENSMUSP00000075658	Arhgap10	3	ENSRNOG00000013152	ENSRNOP00000017867	ortholog_one2one	98.4733	98.4733	75	100.00	0.0071	0.2065	1	8	77250366	77517953	267587	19	34139997	34402436	262439
ENSMUSG00000002660	ENSMUST00000002735	ENSMUSP00000002735	Clpp	2	ENSRNOG00000047052	ENSRNOP00000066481	ortholog_one2one	90.4412	90.4412	100	100.00	0.0457	0.3211	1	17	56990305	56996188	5883	9	10048886	10054359	5473
ENSMUSG00000020102	ENSMUST00000210780	ENSMUSP00000147560	Slc16a7	6	ENSRNOG00000007839	ENSRNOP00000054845	ortholog_one2one	86.9835	86.0941	50	100.00	0.0781	0.2496	1	10	125227485	125389465	161980	7	68446193	68512397	66204
ENSMUSG00000026388	ENSMUST00000027637	ENSMUSP00000027637	3110009E18Rik	6	ENSRNOG00000045570	ENSRNOP00000066166	ortholog_one2one	94.4444	94.4444	100	100.00	0.0264	0.2087	1	1	120121187	120188189	67002	13	36156182	36221225	65043
ENSMUSG00000037536	ENSMUST00000226395	ENSMUSP00000154340	Fbxo34	14	ENSRNOG00000011704	ENSRNOP00000015777	ortholog_one2one	86.5952	88.2514	100	100.00	0.0621	0.2469	1	14	47450421	47529449	79028	15	24267323	24334885	67562
ENSMUSG00000002661	ENSMUST00000002737	ENSMUSP00000002737	Alkbh7	3	ENSRNOG00000047089	ENSRNOP00000065514	ortholog_one2one	95.9276	95.9276	100	100.00	0.0193	0.1523	1	17	56997343	56999322	1979	9	10045375	10047507	2132
ENSMUSG00000023333	ENSMUST00000024104	ENSMUSP00000024104	Gcm1	1	ENSRNOG00000007932	ENSRNOP00000010583	ortholog_one2one	89.2202	89.2202	100	100.00	0.0591	0.2534	1	9	78051924	78065624	13700	8	85355766	85369002	13236
ENSMUSG00000024076	ENSMUST00000024880	ENSMUSP00000024880	Vit	4	ENSRNOG00000004706	ENSRNOP00000006360	ortholog_one2one	86.7692	91.5584	100	98.40	0.0429	0.2131	1	17	78508064	78627398	119334	6	1147012	1208392	61380
ENSMUSG00000054892	ENSMUST00000113604	ENSMUSP00000109234	Txk	8	ENSRNOG00000025925	ENSRNOP00000030643	ortholog_one2one	92.9791	93.1559	100	100.00	0.0343	0.2078	1	5	72695978	72752777	56799	14	38030189	38085919	55730
ENSMUSG00000055817	ENSMUST00000177069	ENSMUSP00000135064	Mta3	9	ENSRNOG00000004685	ENSRNOP00000068747	ortholog_one2one	93.7394	95.189	100	100.00	0.0288	0.2982	1	17	83706184	83821516	115332	6	6908684	7017561	108877
ENSMUSG00000002664	ENSMUST00000002740	ENSMUSP00000002740	Pspn	1	ENSRNOG00000049171	ENSRNOP00000065156	ortholog_one2one	88.4615	88.4615	100	100.00	0.0618	0.124	1	17	56999457	57000018	561	9	10044756	10045314	558
ENSMUSG00000022043	ENSMUST00000022623	ENSMUSP00000022623	Trim35	3	ENSRNOG00000009449	ENSRNOP00000012528	ortholog_one2one	97.8682	98.0583	100	100.00	0.0104	0.2156	1	14	66297031	66311424	14393	15	42960307	42976792	16485
ENSMUSG00000070524	ENSMUST00000094337	ENSMUSP00000091895	Fcrlb	1	ENSRNOG00000003135	ENSRNOP00000004181	ortholog_one2one	93.4426	93.662	100	100.00	0.0313	0.2514	1	1	170907273	170912941	5668	13	89285998	89291371	5373
ENSMUSG00000025498	ENSMUST00000106023	ENSMUSP00000101644	Irf7	13	ENSRNOG00000017414	ENSRNOP00000023504	ortholog_one2one	84.0263	84.2105	100	100.00	0.099	0.3003	1	7	141262706	141266421	3715	1	214248837	214252456	3619
ENSMUSG00000031250	ENSMUST00000033602	ENSMUSP00000033602	Tnmd	1	ENSRNOG00000060970	ENSRNOP00000073972	ortholog_one2one	98.4227	98.4227	50	100.00	0.0074	0.0936	1	X	133850980	133865577	14597	X	104684676	104700173	15497
ENSMUSG00000068134	ENSMUST00000089207	ENSMUSP00000086615	Zfp120	5	ENSRNOG00000006112	ENSRNOP00000008101	ortholog_one2one	83.945	89.2683	50	97.52	0.0503	0.2102	1	2	150114406	150136708	22302	3	145639155	145641654	2499
ENSMUSG00000022913	ENSMUST00000023630	ENSMUSP00000023630	Psmg1	4	ENSRNOG00000001643	ENSRNOP00000002242	ortholog_one2one	91.3495	91.3495	100	100.00	0.0428	0.1997	1	16	95979933	95990960	11027	11	36327800	36337256	9456
ENSMUSG00000021945	ENSMUST00000022511	ENSMUSP00000022511	Zmym2	7	ENSRNOG00000008734	ENSRNOP00000011684	ortholog_one2one	95.3488	94.9349	100	100.00	0.0299	0.2012	1	14	56887819	56962701	74882	15	37171052	37227301	56249
ENSMUSG00000043415	ENSMUST00000052168	ENSMUSP00000100617	Otud1	1	ENSRNOG00000016950	ENSRNOP00000060310	ortholog_one2one	93.1718	92.967	50	100.00	0.0277	0.2111	1	2	19657752	19660583	2831	17	86408151	86409518	1367
ENSMUSG00000052785	ENSMUST00000210571	ENSMUSP00000147664	Olfr573-ps1	2	ENSRNOG00000047871	ENSRNOP00000065538	ortholog_one2one	85.8586	86.1487	100	100.00	0.0503	0.1443	1	7	102941682	102942575	893	1	168081853	168082740	887
ENSMUSG00000032564	ENSMUST00000057742	ENSMUSP00000049663	Cpne4	6	ENSRNOG00000026577	ENSRNOP00000016749	ortholog_one2one	100	98.2363	100	100.00	0	0	1	9	104569483	105034544	465061	8	113105814	113586418	480604
ENSMUSG00000050445	ENSMUST00000062474	ENSMUSP00000052989	Cyp8b1	1	ENSRNOG00000019481	ENSRNOP00000026355	ortholog_one2one	89.4	89.5792	100	100.00	0.0532	0.3791	1	9	121914356	121916305	1949	8	130548418	130550388	1970
ENSMUSG00000038806	ENSMUST00000038091	ENSMUSP00000037890	Sde2	2	ENSRNOG00000003247	ENSRNOP00000075283	ortholog_one2one	85.9375	83.878	100	100.00	0.0812	0.2241	1	1	180851127	180868113	16986	13	99136871	99152038	15167
ENSMUSG00000021886	ENSMUST00000075072	ENSMUSP00000074581	Gpr65	1	ENSRNOG00000003806	ENSRNOP00000005055	ortholog_one2one	87.8338	87.8338	100	100.00	0.0629	0.345	1	12	98268635	98276644	8009	6	122254841	122256251	1410
ENSMUSG00000000552	ENSMUST00000168828	ENSMUSP00000130176	Zfp385a	3	ENSRNOG00000036833	ENSRNOP00000059042	ortholog_one2one	98.7047	91.8072	100	100.00	0.0104	0.0717	1	15	103313895	103340093	26198	7	144939623	144959746	20123
ENSMUSG00000050199	ENSMUST00000046548	ENSMUSP00000047325	Lgr4	4	ENSRNOG00000005715	ENSRNOP00000007681	ortholog_one2one	97.7918	97.7918	100	100.00	0.0109	0.1255	1	2	109917647	110014257	96610	3	101051955	101152119	100164
ENSMUSG00000045824	ENSMUST00000052997	ENSMUSP00000095815	Olfr574	2	ENSRNOG00000048436	ENSRNOP00000066616	ortholog_one2one	95.0867	95.0867	100	100.00	0.0247	0.1761	1	7	102948467	102949507	1040	1	168092141	168093181	1040
ENSMUSG00000006398	ENSMUST00000006565	ENSMUSP00000006565	Cdc20	3	ENSRNOG00000028415	ENSRNOP00000037772	ortholog_one2one	97.5952	97.5952	100	100.00	0.012	0.2276	1	4	118432901	118437352	4451	5	137260739	137265015	4276
ENSMUSG00000045150	ENSMUST00000214438	ENSMUSP00000150251	Olfr1161	3	ENSRNOG00000046185	ENSRNOP00000065362	ortholog_one2one	84.1122	87.3786	75	100.00	0.0665	0.1738	1	2	88022774	88028252	5478	3	76179214	76180140	926
ENSMUSG00000060166	ENSMUST00000076957	ENSMUSP00000076224	Zdhhc8	2	ENSRNOG00000021891	ENSRNOP00000040329	ortholog_one2one	98.4252	98.4252	100	100.00	0.0074	0.1252	1	16	18220753	18235136	14383	11	86903122	86915715	12593
ENSMUSG00000026959	ENSMUST00000114312	ENSMUSP00000109951	Grin1	14	ENSRNOG00000011726	ENSRNOP00000029227	ortholog_one2one	96.162	95.6522	100	100.00	0.0073	0.2278	1	2	25291181	25319187	28006	3	2506896	2534375	27479
ENSMUSG00000017204	ENSMUST00000017348	ENSMUSP00000017348	Gsdma	1	ENSRNOG00000007943	ENSRNOP00000050054	ortholog_one2one	93.2735	93.2735	100	100.00	0.0349	0.2127	1	11	98664351	98677708	13357	10	86582612	86595102	12490
ENSMUSG00000026389	ENSMUST00000140490	ENSMUSP00000121046	Steap3	5	ENSRNOG00000049471	ENSRNOP00000064137	ortholog_one2one	97.1311	95.1807	100	100.00	0.0127	0.2644	1	1	120190757	120265255	74498	13	36257112	36290531	33419
ENSMUSG00000075140	ENSMUST00000129056	ENSMUSP00000149472	Olfr73	2	ENSRNOG00000049888	ENSRNOP00000073231	ortholog_one2one	92.0128	92.0128	75	100.00	0.0461	0.2146	1	2	88032288	88037699	5411	3	76186104	76187045	941
ENSMUSG00000091415	ENSMUST00000173494	ENSMUSP00000134177	Ak9	1	ENSRNOG00000037688	ENSRNOP00000054014	ortholog_one2one	85.1109	85.3814	100	100.00	0.076	0.324	1	10	41303980	41434534	130554	20	46044892	46162073	117181
ENSMUSG00000029306	ENSMUST00000031246	ENSMUSP00000031246	Ibsp	1	ENSRNOG00000002158	ENSRNOP00000002938	ortholog_one2one	89.8148	91.2226	100	100.00	0.0536	0.2596	1	5	104299171	104311469	12298	14	6801204	6813945	12741
ENSMUSG00000060512	ENSMUST00000081747	ENSMUSP00000080443	0610040J01Rik	4	ENSRNOG00000002191	ENSRNOP00000002982	ortholog_one2one	87.5399	87.5399	100	100.00	0.0685	0.1603	1	5	63812363	63899625	87262	14	46050750	46054022	3272
